time	V(mreal)	V(vc)	V(vinput)	V(vobser)	V(vtest)
2.289257812500000e-001	7.762076e-001	1.885866e-001	1.185712e+000	1.864149e-001	3.000000e+004
2.299023437500000e-001	7.494109e-001	1.934577e-001	1.234423e+000	1.948097e-001	3.000000e+004
2.308789062500000e-001	7.213998e-001	1.982871e-001	1.282717e+000	2.039892e-001	3.000000e+004
2.318554687500000e-001	6.921845e-001	2.030753e-001	1.330599e+000	2.140244e-001	3.000000e+004
2.328320312500000e-001	6.617754e-001	2.078226e-001	1.378072e+000	2.249944e-001	3.000000e+004
2.338085937500000e-001	6.301826e-001	2.125293e-001	1.425139e+000	2.369871e-001	3.000000e+004
2.347851562500000e-001	5.974164e-001	2.171958e-001	1.471804e+000	2.501009e-001	3.000000e+004
2.357617187500000e-001	5.634867e-001	2.218224e-001	1.518070e+000	2.644455e-001	3.000000e+004
2.367382812500000e-001	5.284034e-001	2.264095e-001	1.563941e+000	2.801435e-001	3.000000e+004
2.377148437500000e-001	4.921765e-001	2.309573e-001	1.609420e+000	2.973316e-001	3.000000e+004
2.386914062500000e-001	4.548158e-001	2.354663e-001	1.654510e+000	3.161628e-001	3.000000e+004
2.396679687500000e-001	4.163308e-001	2.399368e-001	1.699215e+000	3.368082e-001	3.000000e+004
2.406445312500000e-001	3.767313e-001	2.443691e-001	1.743538e+000	3.594596e-001	3.000000e+004
2.416210937500000e-001	3.360267e-001	2.487635e-001	1.787482e+000	3.843316e-001	3.000000e+004
2.425976562500000e-001	2.942266e-001	2.531204e-001	1.831050e+000	4.116650e-001	3.000000e+004
2.435742187500000e-001	2.513402e-001	2.574400e-001	1.874247e+000	4.417300e-001	3.000000e+004
2.445507812500000e-001	2.073770e-001	2.617227e-001	1.917073e+000	4.748302e-001	3.000000e+004
2.455273437500000e-001	1.623460e-001	2.659688e-001	1.959535e+000	5.113069e-001	3.000000e+004
2.465039062500000e-001	1.162565e-001	2.701786e-001	2.001633e+000	5.515442e-001	3.000000e+004
2.474804687500000e-001	6.911741e-002	2.743525e-001	2.043371e+000	5.959749e-001	3.000000e+004
2.484570312500000e-001	2.794225e-002	2.784907e-001	2.084754e+000	6.372606e-001	3.000000e+004
2.494335937500000e-001	1.177541e-003	2.826011e-001	2.125860e+000	6.653920e-001	3.000000e+004
2.495556640625000e-001	0.000000e+000	2.831122e-001	2.130972e+000	6.666619e-001	3.000000e+004
2.497998046875000e-001	0.000000e+000	2.841304e-001	2.141153e+000	6.666599e-001	3.000000e+004
2.562377553686709e-001	0.000000e+000	3.100450e-001	2.400300e+000	6.666605e-001	3.000000e+004
2.626757060498418e-001	0.000000e+000	3.347102e-001	2.646954e+000	6.666610e-001	3.000000e+004
2.691136567310127e-001	0.000000e+000	3.581261e-001	2.881114e+000	6.666614e-001	3.000000e+004
2.755516074121835e-001	0.000000e+000	3.802927e-001	3.102780e+000	6.666618e-001	3.000000e+004
2.819895580933545e-001	0.000000e+000	4.012099e-001	3.311953e+000	6.666621e-001	3.000000e+004
2.884275087745253e-001	0.000000e+000	4.208778e-001	3.508633e+000	6.666623e-001	3.000000e+004
2.948654594556962e-001	0.000000e+000	4.392963e-001	3.692819e+000	6.666624e-001	3.000000e+004
2.950000000000000e-001	0.000000e+000	4.396744e-001	3.696600e+000	6.666624e-001	3.000000e+004
2.950976562500000e-001	0.000000e+000	4.399478e-001	3.699335e+000	6.666624e-001	3.000000e+004
2.952929687500000e-001	0.000000e+000	4.404939e-001	3.704796e+000	6.666624e-001	3.000000e+004
3.000000000000000e-001	0.000000e+000	4.533853e-001	3.833709e+000	6.666625e-001	3.000000e+004
3.000976562500000e-001	0.000000e+000	4.533449e-001	3.833361e+000	6.666636e-001	6.847656e+004
3.002929687500000e-001	0.000000e+000	4.531493e-001	3.831450e+000	6.666646e-001	1.454297e+005
3.006835937500000e-001	0.000000e+000	4.524978e-001	3.824954e+000	6.666650e-001	2.993359e+005
3.014648437500000e-001	0.000000e+000	4.508894e-001	3.808878e+000	6.666652e-001	6.071484e+005
3.024414062500000e-001	0.000000e+000	4.487167e-001	3.787155e+000	6.666653e-001	9.919141e+005
3.034179687500000e-001	0.000000e+000	4.464730e-001	3.764719e+000	6.666653e-001	1.376680e+006
3.043945312500000e-001	0.000000e+000	4.442029e-001	3.742020e+000	6.666653e-001	1.761445e+006
3.050000000000000e-001	0.000000e+000	4.427899e-001	3.727891e+000	6.666654e-001	2.000000e+006
3.050976562500000e-001	0.000000e+000	4.425618e-001	3.725610e+000	6.666653e-001	2.000000e+006
3.052929687500000e-001	0.000000e+000	4.421060e-001	3.721051e+000	6.666653e-001	2.000000e+006
3.116796875000000e-001	0.000000e+000	4.275039e-001	3.575031e+000	6.666653e-001	2.000000e+006
3.180664062500000e-001	0.000000e+000	4.133652e-001	3.433645e+000	6.666654e-001	2.000000e+006
3.244531250000000e-001	0.000000e+000	3.996900e-001	3.296893e+000	6.666654e-001	2.000000e+006
3.308398437500000e-001	0.000000e+000	3.864782e-001	3.164776e+000	6.666654e-001	2.000000e+006
3.372265625000000e-001	0.000000e+000	3.737298e-001	3.037293e+000	6.666654e-001	2.000000e+006
3.436132812500000e-001	0.000000e+000	3.614449e-001	2.914444e+000	6.666654e-001	2.000000e+006
3.500000000000000e-001	0.000000e+000	3.496235e-001	2.796230e+000	6.666654e-001	2.000000e+006
3.550000000000000e-001	0.000000e+000	3.406253e-001	2.706249e+000	6.666654e-001	2.000000e+006
3.633007812500000e-001	0.000000e+000	3.262910e-001	2.562906e+000	6.666654e-001	2.000000e+006
3.716015625000000e-001	0.000000e+000	3.125316e-001	2.425313e+000	6.666654e-001	2.000000e+006
3.799023437500000e-001	0.000000e+000	2.993470e-001	2.293468e+000	6.666654e-001	2.000000e+006
3.882031250000000e-001	0.000000e+000	2.867374e-001	2.167372e+000	6.666654e-001	2.000000e+006
3.965039062500000e-001	0.000000e+000	2.747026e-001	2.047025e+000	6.666655e-001	2.000000e+006
4.048046875000000e-001	0.000000e+000	2.632428e-001	1.932427e+000	6.666655e-001	2.000000e+006
4.131054687500000e-001	0.000000e+000	2.523578e-001	1.823577e+000	6.666655e-001	2.000000e+006
