time	V(mreal)	V(vc)	V(vinput)	V(vobser)	V(vtest)
2.312304687500000e-001	2.403848e-001	7.087822e-002	8.789679e-003	4.492411e-001	2.000000e+006
2.331835937500000e-001	2.403873e-001	7.031472e-002	3.154665e-003	4.492411e-001	2.000000e+006
2.341601562500000e-001	2.403885e-001	7.003514e-002	3.589654e-004	4.492415e-001	2.000000e+006
2.351367187500000e-001	2.403898e-001	6.975707e-002	-2.421746e-003	4.492418e-001	2.000000e+006
2.361132812500000e-001	2.403910e-001	6.948049e-002	-5.187551e-003	4.492418e-001	2.000000e+006
2.382059151785714e-001	2.403937e-001	6.889299e-002	-1.106255e-002	4.492416e-001	2.000000e+006
2.402985491071429e-001	2.403964e-001	6.831203e-002	-1.687215e-002	4.492414e-001	2.000000e+006
2.423911830357143e-001	2.403991e-001	6.773761e-002	-2.261633e-002	4.492412e-001	2.000000e+006
2.444838169642857e-001	2.404017e-001	6.716972e-002	-2.829512e-002	4.492411e-001	2.000000e+006
2.465764508928571e-001	2.404044e-001	6.660838e-002	-3.390849e-002	4.492409e-001	2.000000e+006
2.486690848214286e-001	2.404071e-001	6.605358e-002	-3.945646e-002	4.492408e-001	2.000000e+006
2.507617187500000e-001	2.404097e-001	6.550533e-002	-4.493903e-002	4.492407e-001	2.000000e+006
2.517382812500000e-001	2.404110e-001	6.525154e-002	-4.747689e-002	4.492296e-001	2.000000e+006
2.527148437500000e-001	2.404123e-001	6.499912e-002	-5.000114e-002	4.492075e-001	2.000000e+006
2.536914062500000e-001	2.404135e-001	6.474804e-002	-5.251187e-002	4.491960e-001	2.000000e+006
2.556445312500000e-001	2.404160e-001	6.424993e-002	-5.749301e-002	4.491948e-001	2.000000e+006
2.566210937500000e-001	2.404411e-001	6.400286e-002	-5.996357e-002	4.491765e-001	2.000000e+006
2.575976562500000e-001	2.405616e-001	6.375714e-002	-6.242089e-002	4.490880e-001	2.000000e+006
2.605273437500000e-001	2.419986e-001	6.302781e-002	-6.971408e-002	4.480307e-001	2.000000e+006
2.634570312500000e-001	2.451415e-001	6.231016e-002	-7.689059e-002	4.457257e-001	2.000000e+006
2.661077008928571e-001	2.494805e-001	6.167108e-002	-8.328137e-002	4.424777e-001	2.000000e+006
2.687583705357143e-001	2.551257e-001	6.104093e-002	-8.958283e-002	4.383907e-001	2.000000e+006
2.714090401785714e-001	2.620770e-001	6.041971e-002	-9.579497e-002	4.334648e-001	2.000000e+006
2.740597098214286e-001	2.703345e-001	5.980742e-002	-1.019178e-001	4.276999e-001	2.000000e+006
2.767103794642857e-001	2.798982e-001	5.920407e-002	-1.079513e-001	4.210960e-001	2.000000e+006
2.793610491071428e-001	2.907681e-001	5.860965e-002	-1.138955e-001	4.136532e-001	2.000000e+006
2.820117187500000e-001	3.029441e-001	5.802416e-002	-1.197504e-001	4.053714e-001	2.000000e+006
2.838253348214285e-001	3.119772e-001	5.762837e-002	-1.237083e-001	3.993644e-001	2.000000e+006
2.856389508928571e-001	3.215685e-001	5.723639e-002	-1.276281e-001	3.931240e-001	2.000000e+006
2.874525669642857e-001	3.317180e-001	5.684823e-002	-1.315097e-001	3.866504e-001	2.000000e+006
2.892661830357143e-001	3.424257e-001	5.646388e-002	-1.353531e-001	3.799434e-001	2.000000e+006
2.910797991071428e-001	3.536916e-001	5.608336e-002	-1.391583e-001	3.730031e-001	2.000000e+006
2.928934151785714e-001	3.655157e-001	5.570665e-002	-1.429254e-001	3.658294e-001	2.000000e+006
2.947070312500000e-001	3.778980e-001	5.533376e-002	-1.466543e-001	3.584225e-001	2.000000e+006
2.950000000000000e-001	3.799372e-001	5.527379e-002	-1.472540e-001	3.572210e-001	2.000000e+006
2.950976562500000e-001	3.806253e-001	5.525410e-002	-1.474509e-001	3.568177e-001	1.961523e+006
2.952929687500000e-001	3.820060e-001	5.521540e-002	-1.478381e-001	3.560103e-001	1.884570e+006
2.956835937500000e-001	3.847886e-001	5.514174e-002	-1.485749e-001	3.543902e-001	1.730664e+006
2.964648437500000e-001	3.904170e-001	5.501040e-002	-1.498890e-001	3.511356e-001	1.422852e+006
2.974414062500000e-001	3.975385e-001	5.488750e-002	-1.511196e-001	3.470560e-001	1.038086e+006
2.984179687500000e-001	4.047065e-001	5.487791e-002	-1.512201e-001	3.429956e-001	6.533203e+005
2.993945312500000e-001	4.116993e-001	5.559518e-002	-1.441007e-001	3.390867e-001	2.685547e+005
3.000000000000000e-001	4.157595e-001	5.701392e-002	-1.300194e-001	3.368528e-001	3.000000e+004
3.000976562500000e-001	4.162470e-001	5.761534e-002	-1.240057e-001	3.365851e-001	3.000000e+004
3.002929687500000e-001	4.170804e-001	5.881665e-002	-1.119930e-001	3.361292e-001	3.000000e+004
3.006835937500000e-001	4.181603e-001	6.121172e-002	-8.804215e-002	3.355430e-001	3.000000e+004
3.014648437500000e-001	4.190693e-001	6.597731e-002	-4.038612e-002	3.350540e-001	3.000000e+004
3.024414062500000e-001	4.193147e-001	7.189357e-002	1.877684e-002	3.348881e-001	3.000000e+004
3.034179687500000e-001	4.193154e-001	7.776183e-002	7.745962e-002	3.348245e-001	3.000000e+004
3.043945312500000e-001	4.191488e-001	8.357994e-002	1.356409e-001	3.348975e-001	3.000000e+004
3.053710937500000e-001	4.183014e-001	8.934832e-002	1.933251e-001	3.353778e-001	3.000000e+004
3.063476562500000e-001	4.162375e-001	9.506742e-002	2.505163e-001	3.365236e-001	3.000000e+004
3.083007812500000e-001	4.078703e-001	1.063594e-001	3.634367e-001	3.411899e-001	3.000000e+004
3.102539062500000e-001	3.938960e-001	1.174593e-001	4.744355e-001	3.491210e-001	3.000000e+004
3.112304687500000e-001	3.848360e-001	1.229381e-001	5.292245e-001	3.543603e-001	3.000000e+004
3.122070312500000e-001	3.744099e-001	1.283702e-001	5.835453e-001	3.604867e-001	3.000000e+004
3.131835937500000e-001	3.626294e-001	1.337558e-001	6.374020e-001	3.675362e-001	3.000000e+004
3.141601562500000e-001	3.495060e-001	1.390955e-001	6.907984e-001	3.755517e-001	3.000000e+004
3.151367187500000e-001	3.350512e-001	1.443895e-001	7.437385e-001	3.845826e-001	3.000000e+004
3.161132812500000e-001	3.192764e-001	1.496382e-001	7.962263e-001	3.946861e-001	3.000000e+004
